period_date,next_open_date,symbol,tau,lower,upper,point,half_width_bps,regime_code,m_regime,checkpoint_sha256,checkpoint_through,forecaster_code,profile_code,artefact_sha256,provenance,computed_ts
2026-01-29,2026-01-30,NVDA,0.68,190.8026731,194.217316,192.5099945,88.68741854,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,NVDA,0.85,189.8123359,195.2076531,192.5099945,140.1308346,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,NVDA,0.95,188.1446095,196.8753795,192.5099945,226.7614756,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,NVDA,0.99,185.3469564,199.6730326,192.5099945,372.0865563,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,QQQ,0.68,626.6605414,632.199444,629.4299927,43.9993539,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,QQQ,0.85,625.0541124,633.8058729,629.4299927,69.5213175,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,QQQ,0.95,622.3488883,636.511097,629.4299927,112.5002687,normal,0.9897355821,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,QQQ,0.99,617.8108068,641.0491785,629.4299927,184.5985411,normal,0.9743930875,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,SPY,0.68,692.3488382,695.7311179,694.039978,24.36660568,normal,0.9455691535,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
2026-01-29,2026-01-30,SPY,0.85,691.3678872,696.7120689,694.039978,38.50053193,normal,0.9503427788,852a69320fbeb119283b588c3b37c508ac14eca0ab521add2ba99be28d01d037,2026-04-23,5,3,a16a27b0e675c9150fe8053cf962ee57c303cb9fe3137ab36173a864fb4d0d64,retro_frozen,2026-07-25T05:11:08Z
